Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
19,Entry Short,Short Entry,2022-02-22 00:00,82.95,0.021,-0.13,-7.59,0.86,-1.2,0.04,2.18,0.22,12.69
20,Exit Short,Close position order,2022-02-25 00:00,89.35,0.021,-0.18,-10.74,0.67,-1.68,0.05,2.73,0.28,16.25
20,Entry Short,Short Entry,2022-02-24 06:00,80.83,0.021,-0.18,-10.74,0.67,-1.68,0.05,2.73,0.28,16.25
21,Exit Short,Close position order,2022-03-13 12:00,81.04,0.031,0.03,1.19,0.70,0.28,0.06,2.47,0.07,2.66
21,Entry Short,Short Entry,2022-03-10 15:00,82.18,0.031,0.03,1.19,0.70,0.28,0.06,2.47,0.07,2.66
22,Exit Long,Long Exit,2022-03-24 09:00,98.64,0.038,0.14,3.88,0.84,1.31,0.14,3.98,0.09,2.43
22,Entry Long,Long Entry,2022-03-23 15:00,94.77,0.038,0.14,3.88,0.84,1.31,0.14,3.98,0.09,2.43
23,Exit Long,Long Exit,2022-03-28 03:00,111.34,0.035,0.14,3.81,0.99,1.32,0.15,3.91,0.07,1.8
23,Entry Long,Long Entry,2022-03-28 00:00,107.04,0.035,0.14,3.81,0.99,1.32,0.15,3.91,0.07,1.8
24,Exit Short,Close position order,2022-04-27 09:00,99.26,0.038,-0.07,-1.97,0.91,-0.67,0.11,2.89,0.10,2.59
24,Entry Short,Short Entry,2022-04-26 18:00,97.53,0.038,-0.07,-1.97,0.91,-0.67,0.11,2.89,0.10,2.59
25,Exit Long,Long Exit,2022-07-15 18:00,38.62,0.073,0.15,5.48,1.06,1.34,0.15,5.59,0.02,0.62
25,Entry Long,Long Entry,2022-07-14 18:00,36.54,0.073,0.15,5.48,1.06,1.34,0.15,5.59,0.02,0.62
26,Exit Short,Close position order,2022-08-29 21:00,31.93,0.079,-0.02,-0.86,1.04,-0.2,0.13,5.32,0.05,1.9
26,Entry Short,Short Entry,2022-08-27 00:00,31.72,0.079,-0.02,-0.86,1.04,-0.2,0.13,5.32,0.05,1.9
27,Exit Short,Short Exit,2022-09-18 21:00,31.14,0.125,0.15,3.6,1.18,1.32,0.15,3.7,0.02,0.53
