COIN,POSITION,OPEN,CLOSE  ,PROFIT 1,PROFIT 2
ONE,LONG,0.01498,0.01568,4.46%,$11.16
ATOM,LONG,9.53,9.936,4.09%,$10.65
MATIC,LONG,0.8708,0.911,4.41%,$12.03
ENJ,LONG,0.3109,0.2914,-6.69%,-$17.10
AVAX,LONG,19.11,20.44,6.51%,$17.79
AVAX,LONG,19.64,21.01,6.52%,$19.07
BNB,LONG,251,245.4,-2.28%,-$6.52
SOL,LONG,62.1,68.03,8.72%,$27.30
SOL,LONG,62.43,57.58,-8.42%,-$24.33
FTM,LONG,0.3238,0.3408,4.99%,$15.17
ATOM,LONG,10.03,9.064,-10.66%,-$29.28
DOGE,LONG,0.07942,0.08271,3.98%,$11.38
EOS,LONG,0.737,0.698,-5.59%,-$15.14
DOGE,LONG,0.07819,0.08094,3.40%,$9.53
SLP,SHORT,0.002256,0.002167,4.11%,$11.07
BNB,SHORT,241.2,243.1,-0.78%,-$2.30
ANKR,LONG,0.02689,0.02594,-3.66%,-$10.22
ZIL,SHORT,0.02146,0.02036,5.40%,$14.30
SKL,LONG,0.0329,0.0347,5.19%,$16.05
LIT,LONG,0.87,0.904,3.76%,$12.09
ADA,LONG,0.3897,0.3675,-6.04%,-$18.32
KNC,SHORT,0.758,0.735,3.13%,$9.20
NEO,SHORT,10.6,10.95,-3.20%,-$10.32
ENJ,SHORT,0.2596,0.2486,4.42%,$12.80
ENJ,SHORT,0.2596,0.2486,4.42%,$13.34
IOTA,SHORT,0.176,0.1695,3.83%,$12.12
ADA,LONG,0.3938,0.3835,-2.69%,-$8.90
ADA,LONG,0.3949,0.384,-2.84%,-$9.15
SOL,LONG,58.02,56.83,-2.09%,-$6.61
DOGE,LONG,0.07739,0.07938,2.51%,$8.12
DUSK,LONG,0.1656,0.162,-2.22%,-$7.04
SLP,LONG,0.002424,0.002482,2.34%,$7.58
BNB,SHORT,230.6,228.4,0.96%,$3.09
BNB,SHORT,230.6,228.4,0.96%,$3.12
SOL,SHORT,56.83,55.79,1.86%,$6.05
NEO,SHORT,10.84,10.47,3.53%,$11.49
FTM,SHORT,0.3056,0.2958,3.31%,$11.16
DOT,SHORT,5.15,5.232,-1.57%,-$5.72
ONE,SHORT,0.01311,0.01334,-1.72%,-$6.20
OMG,SHORT,0.619,0.604,2.48%,$8.42
HIGH,LONG,1.465,1.519,3.55%,$13.11
ONT,SHORT,0.2132,0.2202,-3.18%,-$12.11
ALPACA,LONG,0.1751,0.1832,4.42%,$16.50
DOGE,LONG,0.07985,0.08241,3.11%,$11.97
DOGE,LONG,0.08001,0.083,3.60%,$14.40
AVAX,LONG,21.5,21.95,2.05%,$6.15
AVAX,LONG,21.5,22.18,3.07%,$9.49
SOL,LONG,60.63,63.63,4.71%,$15.32
ATOM,LONG,9.3,9.565,2.77%,$9.26
XMR,LONG,168.63,171.73,1.81%,$6.14
MBL,LONG,0.005471,0.005313,-2.97%,-$9.83
SLP,LONG,0.002409,0.002467,2.35%,$7.96
FTM,LONG,0.3121,0.3208,2.71%,$9.44
ENJ,LONG,0.2922,0.299,2.27%,$8.10
DUSK,LONG,0.1665,0.1624,-2.52%,-$8.77
ADA,LONG,0.3889,0.394,1.29%,$4.55
ADA,LONG,0.3889,0.3953,1.62%,$5.79
ANKR,LONG,0.02644,0.02695,1.89%,$6.90
ATOM,LONG,9.64,9.776,1.39%,$5.14
AVAX,LONG,22.33,22.69,1.59%,$5.96
AVAX,LONG,22.33,22.82,2.15%,$8.24
AVAX,LONG,22.28,22.86,2.54%,$9.99
ATOM,LONG,9.541,9.735,1.99%,$8.01
RSR,LONG,0.003008,0.003079,2.31%,$9.49
DUSK,LONG,0.1704,0.1643,-3.71%,-$14.73
